Equipment;EquipmentName;EquipmentCategory;TechnicalObjectType;SuperiorEquipment;FunctionalLocation;MaintenancePlant;CompanyCode;CostCenter;CreationDate;LastChangeDate;ValidityStartDate;ValidityEndDate
10000001;Hydraulic Press Unit A;M;PRESS;;PROD-LINE-01;1000;1000;COST-01;2022-01-15;2024-03-10;2022-01-01;9999-12-31
10000002;Conveyor Belt System B;M;CONV;;PROD-LINE-01;1000;1000;COST-01;2021-06-01;2023-11-20;2021-06-01;9999-12-31
10000003;CNC Milling Machine C;M;MILL;10000001;PROD-LINE-02;1000;1000;COST-02;2020-03-22;2024-01-05;2020-03-01;9999-12-31
10000004;Electric Motor D;M;MOTOR;10000001;PROD-LINE-02;1000;1000;COST-02;2019-09-10;2023-07-18;2019-09-01;9999-12-31
10000005;Air Compressor Unit E;M;COMP;;UTIL-01;2000;2000;COST-03;2023-02-28;2024-02-14;2023-02-01;9999-12-31
10000006;Cooling Tower F;M;COOL;;UTIL-01;2000;2000;COST-03;2018-11-05;2022-09-30;2018-11-01;9999-12-31
10000007;Forklift G;V;FLT;;WAREHOUSE;3000;3000;COST-04;2021-04-12;2023-12-01;2021-04-01;9999-12-31
10000008;Crane H;M;CRANE;;WAREHOUSE;3000;3000;COST-04;2017-07-19;2021-05-22;2017-07-01;9999-12-31
10000009;Generator I;M;GEN;;POWER-01;1000;1000;COST-01;2016-12-01;2020-10-15;2016-12-01;9999-12-31
10000010;Pump Station J;M;PUMP;;UTIL-02;2000;2000;COST-03;2022-08-08;2024-04-02;2022-08-01;9999-12-31
